material,location,distance,mean_0,std_0,min_0,max_0,freq_max_magnitude_0,spectral_energy_0,mean_1,std_1,min_1,max_1,freq_max_magnitude_1,spectral_energy_1,mean_2,std_2,min_2,max_2,freq_max_magnitude_2,spectral_energy_2
FEP,bottom,10.0,-0.0685280874811255,0.4939019682329462,-0.894031761164075,0.7684289799701951,0.5988023952095809,3401.609536081842,-0.09009110868882031,0.6649117488074253,-1.230351820629583,1.002158899258326,0.5988023952095809,6164.969898159606,-0.05787533287905265,0.5721166169617984,-1.096375658151888,0.8313910086945757,0.5988023952095809,4564.277810654472
FEP,bottom,10.0,0.026065164154342808,0.5020878334832646,-0.8116139034182414,0.869173312043406,0.6024096385542168,3473.326198247896,0.02410180370094387,0.6717631794809693,-1.1352629071371363,1.1191491372525462,0.6024096385542168,6217.53970009057,0.01589579523390454,0.5863348742007648,-1.063098381441257,0.915709423546606,0.6024096385542168,4736.719070040485
FEP,bottom,10.0,0.03340526388036193,0.5103001023712184,-0.8264357839732628,0.9091429816329007,0.606060606060606,3544.7793223600343,0.03853063092770099,0.6792031210822967,-1.1372823778616177,1.172010709733807,0.606060606060606,6279.676024751987,0.030005306435525864,0.5937130393190321,-1.0668892893864863,0.9708103043623892,0.606060606060606,4798.340543244435
FEP,bottom,10.0,0.03331840481302512,0.5034744226049931,-0.8254610527660379,0.8762702118802863,0.5988023952095809,3534.742418614968,0.03565576630193366,0.6735513837902312,-1.13844780384582,1.1314013829390768,0.5988023952095809,6326.221766083676,0.025793379748107553,0.5883953717495943,-1.0685104233231153,0.9261461730671634,0.5988023952095809,4827.712983149757
FEP,bottom,10.0,0.044920850792488906,0.503618293846424,-0.8001938904976301,0.9227247758890073,0.6024096385542168,3494.533211860418,0.052547355332232766,0.6719910656989221,-1.1046840047120838,1.1837883708840893,0.6024096385542168,6221.758901400054,0.040711617894393516,0.5874368986197404,-1.0406936738510342,0.9793627849914608,0.6024096385542168,4754.54129741033
FEP,bottom,10.0,0.04160655748346151,0.5130582856761597,-0.7993333915647473,0.9202380776503492,0.5988023952095809,3670.5940643636372,0.05118123176120414,0.6816295104688664,-1.1041947305539983,1.1833430995427527,0.5988023952095809,6478.87671076879,0.03802607576522912,0.5971571638300522,-1.040523580724912,0.9771227353916044,0.5988023952095809,4972.562380743321
FEP,bottom,10.0,0.05152449462083118,0.5052445881139942,-0.8217675064974714,0.8965044741187169,0.6097560975609756,3432.8990545018487,0.06602562460578287,0.6701611494793156,-1.1246708554182665,1.1544746580122651,0.6097560975609756,6039.711457434158,0.0520654585640979,0.586129034289488,-1.0610667280207378,0.9516360162909928,0.6097560975609756,4620.023289862745
FEP,bottom,10.0,0.03253909944913935,0.5135908967502747,-0.8202233127720572,0.8959353745301137,0.5988023952095809,3678.218982834545,0.04638367844027496,0.6833094229894406,-1.1195939207555403,1.160299283120796,0.5988023952095809,6510.851142547456,0.03445741945348089,0.599200481376704,-1.0559546820508283,0.9572365396934844,0.5988023952095809,5006.650248812082
FEP,bottom,10.0,0.038598832153816376,0.5150166351608431,-0.8454550399164299,0.9133138698865984,0.6024096385542168,3654.5060089232365,0.05643320676703552,0.6817063925074571,-1.1410749355605867,1.1829049130143885,0.6024096385542168,6402.961700869922,0.043352857677138465,0.5976964690034845,-1.0773569053964662,0.9776668292710702,0.6024096385542168,4922.067302062493
FEP,bottom,10.0,0.04099751780818886,0.5167208365486626,-0.8524859929469956,0.9263062842806904,0.5988023952095809,3723.1873974574387,0.0672704296202121,0.6799153457005787,-1.1491839471397585,1.2021233539745526,0.5988023952095809,6446.331471776711,0.056867233467640985,0.5957547590236354,-1.0850407916828502,0.9978132499191994,0.5988023952095809,4949.233993414425
