Time,Dev1/ai28,Dev1/ai30,Dev1/ai31
2025/11/3 16:36:56.122000,-0.7410500749630018,-0.8721237548396044,-0.5606067623052664
2025/11/3 16:36:56.132000,-0.7383988948787011,-0.8691878038222025,-0.55705376963359
2025/11/3 16:36:56.142000,-0.7301383785712624,-0.8594809895888254,-0.5483341034462319
2025/11/3 16:36:56.152000,-0.7166235256978233,-0.8434497129226823,-0.5348539654642808
2025/11/3 16:36:56.162000,-0.6984866441663679,-0.8218695857943761,-0.51728720140227
2025/11/3 16:36:56.172000,-0.6765762526400769,-0.7957698804632415,-0.4965088195895704
2025/11/3 16:36:56.182000,-0.651876948369889,-0.766335581306664,-0.4735106201268118
2025/11/3 16:36:56.192000,-0.625422431160394,-0.7348021378443583,-0.4493120832979949
2025/11/3 16:36:56.202000,-0.5982122417499447,-0.7023559563832721,-0.4248774297967923
2025/11/3 16:36:56.212000,-0.5711394776413022,-0.6700494036772922,-0.4010457838542607
2025/11/3 16:36:56.222000,-0.5449338036094696,-0.6387352323500685,-0.37847801564663053
2025/11/3 16:36:56.232000,-0.5201223706867872,-0.6090230915156958,-0.3576221448344379
2025/11/3 16:36:56.242000,-0.49701041983300076,-0.5812596897273085,-0.3386986498739424
2025/11/3 16:36:56.252000,-0.47568247796806246,-0.5555331201939214,-0.3217064883195231
2025/11/3 16:36:56.262000,-0.4560236752250899,-0.5317003200681184,-0.30644941579296625
2025/11/3 16:36:56.272000,-0.4377589669258328,-0.509434819095216,-0.29258040557934706
2025/11/3 16:36:56.282000,-0.4205061739453961,-0.4882900234631025,-0.2796599127703576
2025/11/3 16:36:56.292000,-0.4038367826101046,-0.46777112252617703,-0.2672214541537583
2025/11/3 16:36:56.302000,-0.38733670508608553,-0.44740660174040076,-0.25483590824829716
2025/11/3 16:36:56.312000,-0.3706586460570317,-0.42680950837398607,-0.2421652390909126
2025/11/3 16:36:56.322000,-0.35355909540081254,-0.40572009646048474,-0.22899793818410408
2025/11/3 16:36:56.332000,-0.3359160157919807,-0.38402507559443533,-0.215262096543976
2025/11/3 16:36:56.342000,-0.317726868839256,-0.3617530270511725,-0.20101627938646072
2025/11/3 16:36:56.352000,-0.2990893841238792,-0.33904896639396026,-0.18642160769545146
2025/11/3 16:36:56.362000,-0.2801689937396269,-0.3161329604499036,-0.1717000832641511
2025/11/3 16:36:56.372000,-0.2611580476288672,-0.29324922385643415,-0.15708535245621036
2025/11/3 16:36:56.382000,-0.24223353203927311,-0.27061408879045434,-0.14277377172478545
2025/11/3 16:36:56.392000,-0.22352101695519405,-0.24837239237273695,-0.12888466179856373
2025/11/3 16:36:56.402000,-0.20507142271865308,-0.22657029918239174,-0.11543716322275177
2025/11/3 16:36:56.412000,-0.18685406339674834,-0.20514860959509698,-0.10234726518809056
2025/11/3 16:36:56.422000,-0.1687658995704665,-0.18395622350038413,-0.08944429473391402
2025/11/3 16:36:56.432000,-0.15065420699993726,-0.16278010299631146,-0.0765028986756886
2025/11/3 16:36:56.442000,-0.13234792326308664,-0.1413857513287825,-0.06328434990783283
2025/11/3 16:36:56.452000,-0.11369162269223188,-0.11956066913055619,-0.04957966569159389
2025/11/3 16:36:56.462000,-0.09457599600817401,-0.09715317061952122,-0.03524717652931608
