Time,Dev1/ai28,Dev1/ai30,Dev1/ai31
2025/11/3 13:50:22.582000,-0.4630695523991348,-0.46765228551596466,-0.4344126138947444
2025/11/3 13:50:22.592000,-0.4622671684747925,-0.46702403320878294,-0.43285685770025273
2025/11/3 13:50:22.602000,-0.4591921016842819,-0.4642257034654931,-0.4291135513796318
2025/11/3 13:50:22.612000,-0.45420792578679475,-0.45964499801185454,-0.4235966278397454
2025/11/3 13:50:22.622000,-0.4476758247789354,-0.45365654307081293,-0.4167014189520175
2025/11/3 13:50:22.632000,-0.4399259793951482,-0.4465919590023943,-0.40877355571847374
2025/11/3 13:50:22.642000,-0.43123981052281635,-0.43872242994994454,-0.40009202005279
2025/11/3 13:50:22.652000,-0.42184488791999963,-0.43025547034809297,-0.39086787153437363
2025/11/3 13:50:22.662000,-0.41191996972814315,-0.4213427567377096,-0.38125481023393615
2025/11/3 13:50:22.672000,-0.4016051278062801,-0.4120932290134512,-0.3713648801077012
2025/11/3 13:50:22.682000,-0.39101321577388826,-0.4025872087782476,-0.3612844839128331
2025/11/3 13:50:22.692000,-0.38024160121801154,-0.39289030894394716,-0.35108936674272684
2025/11/3 13:50:22.702000,-0.369383856524823,-0.3830668614446317,-0.34085837709098343
2025/11/3 13:50:22.712000,-0.35853981874349117,-0.37319127681182207,-0.330684444481816
2025/11/3 13:50:22.722000,-0.3478208108528882,-0.3633540733848069,-0.3206794159690678
2025/11/3 13:50:22.732000,-0.3373458474284011,-0.35365836094651704,-0.31096834860188594
2025/11/3 13:50:22.742000,-0.32722532860175835,-0.34420330979866376,-0.3016696297660826
2025/11/3 13:50:22.752000,-0.31753258326263556,-0.33505510797755855,-0.2928615813838309
2025/11/3 13:50:22.762000,-0.30826990116256614,-0.3262123558811091,-0.28454321957869033
2025/11/3 13:50:22.772000,-0.29934048020304693,-0.3175777395165089,-0.276602223218817
2025/11/3 13:50:22.782000,-0.2905376089536946,-0.30894760826677825,-0.26880300991732664
2025/11/3 13:50:22.792000,-0.28155765564962354,-0.30002600937582136,-0.26080230375021496
2025/11/3 13:50:22.802000,-0.2720371415160775,-0.2904630784335279,-0.25219220992694424
2025/11/3 13:50:22.812000,-0.2616093111789508,-0.27991265234431495,-0.24256511274839077
2025/11/3 13:50:22.822000,-0.24997276736564145,-0.2681012276249304,-0.23159152698257102
2025/11/3 13:50:22.832000,-0.2369623867158217,-0.25489825036962865,-0.2190996159165446
2025/11/3 13:50:22.842000,-0.2226095229008519,-0.24037461797295634,-0.2051417021467563
2025/11/3 13:50:22.852000,-0.20717561508539684,-0.22483337102919643,-0.19002994024729358
2025/11/3 13:50:22.862000,-0.19114480338498407,-0.20879812490000216,-0.17432506208559984
2025/11/3 13:50:22.872000,-0.17516997662503542,-0.19295395213957645,-0.15877223522707706
2025/11/3 13:50:22.882000,-0.15997973246938568,-0.17804892733502187,-0.14419302473970386
2025/11/3 13:50:22.892000,-0.14626376780753447,-0.16477484202670878,-0.13135384627215108
2025/11/3 13:50:22.902000,-0.1345574713482547,-0.15364878949964644,-0.12083482445464666
2025/11/3 13:50:22.912000,-0.125145160479344,-0.1449157257414171,-0.11292123706965618
2025/11/3 13:50:22.922000,-0.11799842336899746,-0.13848882291288755,-0.10753618277460064
2025/11/3 13:50:22.932000,-0.11276129694797454,-0.13393936613964608,-0.10422764091401127
2025/11/3 13:50:22.942000,-0.10878665441026658,-0.13054019679954354,-0.10221460128539195
2025/11/3 13:50:22.952000,-0.10521921256032818,-0.12735734842996616,-0.10048655064785228
2025/11/3 13:50:22.962000,-0.10111224301946753,-0.1233759059958559,-0.09794096611850445
2025/11/3 13:50:22.972000,-0.09555906297650707,-0.11763999434160932,-0.09353664093446912
2025/11/3 13:50:22.982000,-0.08781748675986911,-0.1093839403936846,-0.08643756154700855
2025/11/3 13:50:22.992000,-0.07740646889827463,-0.09813283547053697,-0.0761234417639074
2025/11/3 13:50:23.002000,-0.06415975600098411,-0.08375656749799953,-0.06244945844200678
2025/11/3 13:50:23.012000,-0.048230318630859026,-0.0664708005425203,-0.04564799176455381
2025/11/3 13:50:23.022000,-0.03004895722762957,-0.04678863707512826,-0.026276354103661026
2025/11/3 13:50:23.032000,-0.01024848596241723,-0.025435364714273656,-0.005124005984406876
2025/11/3 13:50:23.042000,0.010430003714844926,-0.003244246161394182,0.016901063278990325
2025/11/3 13:50:23.052000,0.031231035178919897,0.018947302196438143,0.038885520417801356
2025/11/3 13:50:23.062000,0.051463637422361375,0.040384586782395315,0.060005243457930346
2025/11/3 13:50:23.072000,0.07055542441101026,0.060454734825745704,0.07958941859481095
2025/11/3 13:50:23.082000,0.08807887374881362,0.07871453219646785,0.09715049996419656
2025/11/3 13:50:23.092000,0.10375359181968913,0.09489095104082701,0.11238453980163388
2025/11/3 13:50:23.102000,0.11743288782784622,0.10886347163573484,0.12515202600027497
2025/11/3 13:50:23.112000,0.1290840277650218,0.12063872453186597,0.13545082809853093
2025/11/3 13:50:23.122000,0.13876971850521402,0.13032615866587582,0.1433907140225923
2025/11/3 13:50:23.132000,0.14663475616571464,0.13811946639832062,0.1491744380476585
2025/11/3 13:50:23.142000,0.15289753130247974,0.1442837513620958,0.15308519284504585
2025/11/3 13:50:23.152000,0.15784342669165707,0.14914545872840712,0.15547701664021885
2025/11/3 13:50:23.162000,0.16181767967234395,0.1530826539713761,0.1567653898888537
2025/11/3 13:50:23.172000,0.16521716963882294,0.1565152687423449,0.15741745278168295
2025/11/3 13:50:23.182000,0.16848046046537546,0.15989475822975552,0.15794103710769591
