Time,Dev1/ai28,Dev1/ai30,Dev1/ai31
2025/11/3 14:04:58.532000,-0.5937182087768194,-1.122067528963851,-0.6442071718946822
2025/11/3 14:04:58.542000,-0.5892656557717224,-1.1177702838457821,-0.6378439200594674
2025/11/3 14:04:58.552000,-0.580258722681454,-1.106562355870678,-0.6262916905412386
2025/11/3 14:04:58.562000,-0.5669693069777333,-1.088804694788866,-0.6099088538182174
2025/11/3 14:04:58.572000,-0.5499015839332837,-1.065188978393615,-0.5893304695172956
2025/11/3 14:04:58.582000,-0.529745872028804,-1.0366734005822296,-0.5654071204005806
2025/11/3 14:04:58.592000,-0.5073260545328759,-1.0044062013810198,-0.5391368879408107
2025/11/3 14:04:58.602000,-0.483541778067345,-0.969640493876732,-0.5115926195833098
2025/11/3 14:04:58.612000,-0.45930430922259635,-0.9336416295299883,-0.4838436328966855
2025/11/3 14:04:58.622000,-0.43546703515571794,-0.8975905793004533,-0.4568732058102971
2025/11/3 14:04:58.632000,-0.4127563396085461,-0.8624916297791836,-0.43149851976654174
2025/11/3 14:04:58.642000,-0.3917122259198971,-0.8290960822172764,-0.40830382101051343
2025/11/3 14:04:58.652000,-0.37264803349593256,-0.7978529125074869,-0.387597450436469
2025/11/3 14:04:58.662000,-0.3556349703412627,-0.7688926537045226,-0.36939904645194277
2025/11/3 14:04:58.672000,-0.3405125873426216,-0.7420450408306787,-0.35345768428296553
2025/11/3 14:04:58.682000,-0.32692346241756587,-0.7168872789420564,-0.3392982621248386
2025/11/3 14:04:58.692000,-0.3143688325268066,-0.69281776230228,-0.3262916806081866
2025/11/3 14:04:58.702000,-0.3022792673817518,-0.6691469806918229,-0.31374135626031263
2025/11/3 14:04:58.712000,-0.29009051089679483,-0.6451929758788708,-0.3009740287975884
2025/11/3 14:04:58.722000,-0.277311948098677,-0.6203660352195954,-0.28741978315518946
2025/11/3 14:04:58.732000,-0.26357592446523537,-0.5942287249738718,-0.27266732632707
2025/11/3 14:04:58.742000,-0.24866045361512512,-0.5665228556113568,-0.25648602502707707
2025/11/3 14:04:58.752000,-0.2324846548618016,-0.5371631732857267,-0.23881474349138543
2025/11/3 14:04:58.762000,-0.21508336646648551,-0.5062058864143566,-0.2197262814539842
2025/11/3 14:04:58.772000,-0.1965714915226493,-0.47380480452690454,-0.19938099320510094
2025/11/3 14:04:58.782000,-0.1771078143019973,-0.4401667541890735,-0.17798163031113834
2025/11/3 14:04:58.792000,-0.15686395865273095,-0.4055131202934894,-0.15573596360732633
2025/11/3 14:04:58.802000,-0.13600073929940626,-0.37005037987577616,-0.13282938410036937
2025/11/3 14:04:58.812000,-0.11465346512909358,-0.3339516586477762,-0.10940899879360977
2025/11/3 14:04:58.822000,-0.09292810261259987,-0.2973516138263177,-0.08558136721042153
2025/11/3 14:04:58.832000,-0.0709087783657818,-0.2603551268121964,-0.06142429257829374
2025/11/3 14:04:58.842000,-0.04867387232538256,-0.22305645403976593,-0.03700903141029688
2025/11/3 14:04:58.852000,-0.02631575224497107,-0.18556291667005054,-0.0124265769437093
2025/11/3 14:04:58.862000,-0.0039596270823607504,-0.1480177058787051,0.012187681419281837
2025/11/3 14:04:58.872000,0.018221858550072856,-0.11061770083205014,0.0366350943550362
2025/11/3 14:04:58.882000,0.04000213761825355,-0.07362167389797936,0.06064542261138772
2025/11/3 14:04:58.892000,0.061107439661473695,-0.03734290556362119,0.08388533309213919
2025/11/3 14:04:58.902000,0.08124083833744722,-0.0021215008892458975,0.10598872160549178
2025/11/3 14:04:58.912000,0.10012321647451383,0.03172296166780564,0.12660809552967267
2025/11/3 14:04:58.922000,0.11754495906714046,0.06395115724863887,0.14547902991019823
2025/11/3 14:04:58.932000,0.13341873747519895,0.0944649641358084,0.1624855780167116
2025/11/3 14:04:58.942000,0.147823484265603,0.12335832791013157,0.17771445327999258
2025/11/3 14:04:58.952000,0.16103073851958039,0.15094804856499033,0.19148734795235578
2025/11/3 14:04:58.962000,0.1735060927283003,0.17777620670944838,0.20436273406417715
2025/11/3 14:04:58.972000,0.18588158322792792,0.20457937924048553,0.21710229464316777
2025/11/3 14:04:58.982000,0.19889991445617428,0.23222553250551092,0.23060329539106705
2025/11/3 14:04:58.992000,0.2133367728693094,0.26162564730520055,0.24580468514876053
2025/11/3 14:04:59.002000,0.2299111981567834,0.293631361545744,0.2635790188712668
2025/11/3 14:04:59.012000,0.2491954591006813,0.32893156337169716,0.2846238372951455
2025/11/3 14:04:59.022000,0.2715357872618034,0.36796075962508645,0.3093659331897305
2025/11/3 14:04:59.032000,0.2969941994320533,0.41083080298375263,0.33789069563535756
2025/11/3 14:04:59.042000,0.32531943472062075,0.4572950791349504,0.36990620700683197
2025/11/3 14:04:59.052000,0.3559518542165474,0.5067506657571994,0.4047479490163095
2025/11/3 14:04:59.062000,0.3880634371240097,0.5582798401503135,0.44142544021559926
2025/11/3 14:04:59.072000,0.42062971121847736,0.61072764275122,0.47870699458511323
2025/11/3 14:04:59.082000,0.45252575556378183,0.6628071774473128,0.5152333501149107
2025/11/3 14:04:59.092000,0.4826350631310201,0.713220782565616,0.5496471696683387
2025/11/3 14:04:59.102000,0.5099594194598538,0.7607844990606494,0.5807247936770712
2025/11/3 14:04:59.112000,0.5337187806279569,0.804543917230998,0.6074974780197042
2025/11/3 14:04:59.122000,0.5534308922490601,0.8438699315668541,0.6293499384258943
2025/11/3 14:04:59.132000,0.5689619070270573,0.8785242801777375,0.6460855207614302
2025/11/3 14:04:59.142000,0.5805429294519358,0.908688519215779,0.6579514336453043
