Time,Dev1/ai28,Dev1/ai30,Dev1/ai31
2025/11/6 17:24:53.672000,-0.3992187440685509,-0.6699276611747864,-0.5212593679722618
2025/11/6 17:24:53.682000,-0.3979978583258665,-0.6694496172628921,-0.5198959393230207
2025/11/6 17:24:53.692000,-0.3954967188430247,-0.6668760419709802,-0.516370715716116
2025/11/6 17:24:53.702000,-0.39172328177460153,-0.6622144689990505,-0.5107216189180173
2025/11/6 17:24:53.712000,-0.38669451015000417,-0.6555088290759225,-0.5030310374359199
2025/11/6 17:24:53.722000,-0.38042952492526527,-0.6468309778557332,-0.4934127530640705
2025/11/6 17:24:53.732000,-0.37294842958936403,-0.6362755766671979,-0.48200266918059265
2025/11/6 17:24:53.742000,-0.36427836661700064,-0.6239604479320426,-0.4689563082952274
2025/11/6 17:24:53.752000,-0.35446754230461014,-0.6100339192031179,-0.4544551375464446
2025/11/6 17:24:53.762000,-0.3436059057517775,-0.5946885834239702,-0.43872124526853284
2025/11/6 17:24:53.772000,-0.3318474782429418,-0.578177066270171,-0.42203539706054927
2025/11/6 17:24:53.782000,-0.3194265092124681,-0.5608224719146899,-0.4047499777468053
2025/11/6 17:24:53.792000,-0.30666060489301733,-0.5430170991644465,-0.3872891630679881
2025/11/6 17:24:53.802000,-0.29393827409364437,-0.5252072203999152,-0.3701333696746314
2025/11/6 17:24:53.812000,-0.2816924204529268,-0.5078656264684716,-0.3537895564438355
2025/11/6 17:24:53.822000,-0.27036288066351405,-0.49145500855500657,-0.3387506373952264
2025/11/6 17:24:53.832000,-0.2603516667476512,-0.4763855979963426,-0.32544781421674096
2025/11/6 17:24:53.842000,-0.2519762613336144,-0.462971977539696,-0.31420151604839686
2025/11/6 17:24:53.852000,-0.24542813519195383,-0.45139567691187377,-0.30517873693335007
2025/11/6 17:24:53.862000,-0.24074305430950327,-0.44167956268299635,-0.2983639573961645
2025/11/6 17:24:53.872000,-0.23778663384802118,-0.43367699565098006,-0.29354735256680076
2025/11/6 17:24:53.882000,-0.23625594267063937,-0.4270761564303769,-0.29033096539250314
2025/11/6 17:24:53.892000,-0.23569794362177815,-0.4214200159589929,-0.28815349793099476
2025/11/6 17:24:53.902000,-0.2355462478235098,-0.41614329360209157,-0.28633521375083626
2025/11/6 17:24:53.912000,-0.23517519556570632,-0.41062555145972957,-0.284141707955913
2025/11/6 17:24:53.922000,-0.23396427150280813,-0.4042538449099202,-0.2808584809241821
2025/11/6 17:24:53.932000,-0.2313610387727521,-0.39648365095742366,-0.2758627348970123
2025/11/6 17:24:53.942000,-0.22693174699826957,-0.38688765980286366,-0.2686799543915094
2025/11/6 17:24:53.952000,-0.2203943922036491,-0.3751873893377162,-0.25901938638154964
2025/11/6 17:24:53.962000,-0.2116340003640354,-0.36126736951374105,-0.24678840356608467
2025/11/6 17:24:53.972000,-0.20070139032118361,-0.34517307644477435,-0.23208751078492096
2025/11/6 17:24:53.982000,-0.1877966510113369,-0.32709384838250155,-0.21518771968972605
2025/11/6 17:24:53.992000,-0.17323984838498263,-0.3073333950095877,-0.1964934633065859
2025/11/6 17:24:54.002000,-0.15743383580266834,-0.2862729175646046,-0.17649693787297793
2025/11/6 17:24:54.012000,-0.14082499532623893,-0.264332773375181,-0.1557308472248341
2025/11/6 17:24:54.022000,-0.12386580247063828,-0.24193657887561482,-0.13472421870532247
2025/11/6 17:24:54.032000,-0.10698017517509673,-0.21947859841450457,-0.1139624471485533
2025/11/6 17:24:54.042000,-0.09053205712511314,-0.1972946704614108,-0.093852019086763
2025/11/6 17:24:54.052000,-0.07479994387468747,-0.175639125337821,-0.07469292839954622
2025/11/6 17:24:54.062000,-0.05996164017582828,-0.1546716907460557,-0.05666361145572796
2025/11/6 17:24:54.072000,-0.04609180009711522,-0.13445663541343977,-0.03982118787941036
2025/11/6 17:24:54.082000,-0.03317124667231908,-0.11497289554442092,-0.024115602182638085
2025/11/6 17:24:54.092000,-0.021104813453340254,-0.09613179931603089,-0.009413572939533377
2025/11/6 17:24:54.102000,-0.009744344910849634,-0.07779907305432598,0.004471893763611123
2025/11/6 17:24:54.112000,0.0010859913004621635,-0.05981848402399115,0.017750035157073296
2025/11/6 17:24:54.122000,0.011565193644211602,-0.0420342911260555,0.030622756950375973
2025/11/6 17:24:54.132000,0.021855297506257032,-0.02430921663076424,0.043261283160417774
2025/11/6 17:24:54.142000,0.032088253499702346,-0.006535564367453173,0.05579218095328764
2025/11/6 17:24:54.152000,0.042360110395831096,0.011360631947850641,0.06829306408010705
2025/11/6 17:24:54.162000,0.05273120554512534,0.02942103694573317,0.08079620524009468
2025/11/6 17:24:54.172000,0.06323128920149479,0.04766093059688903,0.09329833816227862
2025/11/6 17:24:54.182000,0.07386873704641217,0.06607880674370958,0.10577511321020383
2025/11/6 17:24:54.192000,0.08464158336830663,0.0846674284433131,0.11819708894205028
2025/11/6 17:24:54.202000,0.09554659637031016,0.10342258991580222,0.1305425528003329
2025/11/6 17:24:54.212000,0.10658355910977435,0.12234680688725463,0.14280376236256587
2025/11/6 17:24:54.222000,0.11775495138133041,0.14144827262788717,0.15498690845770702
2025/11/6 17:24:54.232000,0.1290633770999211,0.16073763048431666,0.16710869898299774
2025/11/6 17:24:54.242000,0.14050878651633492,0.18022479429030225,0.17919210807433095
2025/11/6 17:24:54.252000,0.1520864536098243,0.19991686809207576,0.19126250751520713
2025/11/6 17:24:54.262000,0.1637868033840757,0.2198182867105618,0.2033455017934842
2025/11/6 17:24:54.272000,0.17559901980167203,0.23993514903219249,0.21546872746214296
