material,location,mean_0,mav_0,std_0,min_0,max_0,zero_crossing_rate_0,slope_sign_changes_0,peak_frequency_0,spectral_energy_0
FEP,bottom,-0.0685280874811255,0.4315219456106986,0.4939019682329462,-0.894031761164075,0.7684289799701951,0.012048192771084338,0.006024096385542169,0.5988023952095809,3401.609536081842
FEP,bottom,0.026065164154342808,0.4317696773306453,0.5020878334832646,-0.8116139034182414,0.869173312043406,0.012121212121212121,0.006060606060606061,0.6024096385542168,3473.326198247896
FEP,bottom,0.03340526388036193,0.44174157552049476,0.5103001023712184,-0.8264357839732628,0.9091429816329007,0.012195121951219513,0.006097560975609756,0.606060606060606,3544.7793223600343
FEP,bottom,0.03331840481302512,0.4349253551378189,0.5034744226049931,-0.8254610527660379,0.8762702118802863,0.012048192771084338,0.006024096385542169,0.5988023952095809,3534.742418614968
FEP,bottom,0.044920850792488906,0.434697794445322,0.503618293846424,-0.8001938904976301,0.9227247758890073,0.012121212121212121,0.006060606060606061,0.6024096385542168,3494.533211860418
FEP,bottom,0.04160655748346151,0.4442278293264798,0.5130582856761597,-0.7993333915647473,0.9202380776503492,0.012048192771084338,0.006024096385542169,0.5988023952095809,3670.5940643636372
FEP,bottom,0.05152449462083118,0.437917270873579,0.5052445881139942,-0.8217675064974714,0.8965044741187169,0.012269938650306749,0.006134969325153374,0.6097560975609756,3432.8990545018487
FEP,bottom,0.03253909944913935,0.44193840497545883,0.5135908967502747,-0.8202233127720572,0.8959353745301137,0.012048192771084338,0.006024096385542169,0.5988023952095809,3678.218982834545
FEP,bottom,0.038598832153816376,0.44286698206617525,0.5150166351608431,-0.8454550399164299,0.9133138698865984,0.012121212121212121,0.006060606060606061,0.6024096385542168,3654.5060089232365
FEP,bottom,0.04099751780818886,0.44537821616796963,0.5167208365486626,-0.8524859929469956,0.9263062842806904,0.012048192771084338,0.006024096385542169,0.5988023952095809,3723.1873974574387
FEP,bottom,0.06118039001039969,0.4497391568048654,0.5204956646730209,-0.8137762722339312,0.921291910605546,0.012195121951219513,0.006097560975609756,0.606060606060606,3687.8404691421656
