Time,Dev1/ai28,Dev1/ai30,Dev1/ai31
2025/11/6 13:53:55.322000,-0.4907056111647209,-1.8210965708497437,-0.974293540742706
2025/11/6 13:53:55.332000,-0.4887236927940962,-1.8156765271249231,-0.9726140806678445
2025/11/6 13:53:55.342000,-0.48324573539174975,-1.8008108059940038,-0.9645620497478999
2025/11/6 13:53:55.352000,-0.4743246986572385,-1.7768752558409089,-0.9502457907750799
2025/11/6 13:53:55.362000,-0.46222583433246045,-1.7446728313867923,-0.9301561614867841
2025/11/6 13:53:55.372000,-0.4474136103208862,-1.7053741143240129,-0.9051364809923794
2025/11/6 13:53:55.382000,-0.43051453220370717,-1.6604220223976327,-0.8763105452244435
2025/11/6 13:53:55.392000,-0.4122604564209206,-1.6114124351092038,-0.8449779359957112
2025/11/6 13:53:55.402000,-0.3934211059874827,-1.5599661364221409,-0.8124922898520506
2025/11/6 13:53:55.412000,-0.3747359039329454,-1.5076076296748435,-0.7801402813214686
2025/11/6 13:53:55.422000,-0.35685354009844694,-1.455663067983212,-0.7490362795586494
2025/11/6 13:53:55.432000,-0.3402842733860625,-1.4051844239412623,-0.7200417855177719
2025/11/6 13:53:55.442000,-0.3253669356790312,-1.3569023742601525,-0.6937129955274122
2025/11/6 13:53:55.452000,-0.31225109294076314,-1.311207512904583,-0.6702764371325198
2025/11/6 13:53:55.462000,-0.30089458849729334,-1.268158276647887,-0.6496317452526204
2025/11/6 13:53:55.472000,-0.29107692235842997,-1.2275135617768234,-0.6313810175697676
2025/11/6 13:53:55.482000,-0.28242882310150885,-1.1887876040353844,-0.614884235104872
2025/11/6 13:53:55.492000,-0.27447727027333957,-1.1513235238552637,-0.5993386660730908
2025/11/6 13:53:55.502000,-0.2667026855078396,-1.1143794699181853,-0.5838763158831717
2025/11/6 13:53:55.512000,-0.2586014876437037,-1.0772179973653708,-0.5676681613655941
2025/11/6 13:53:55.522000,-0.24974461065594777,-1.0391872200685854,-0.5500200998055083
2025/11/6 13:53:55.532000,-0.2398230814584852,-0.9997835417782908,-0.5304465107534768
2025/11/6 13:53:55.542000,-0.22867528556158034,-0.9586901330993995,-0.5087128723614036
2025/11/6 13:53:55.552000,-0.21629455385263885,-0.9157900137642714,-0.4848451732097092
2025/11/6 13:53:55.562000,-0.20281814787381625,-0.8711555331998424,-0.4591080281472957
2025/11/6 13:53:55.572000,-0.1884999322827865,-0.8250175766795043,-0.4319558691619241
2025/11/6 13:53:55.582000,-0.17367011441599134,-0.7777190523352728,-0.4039636038089043
2025/11/6 13:53:55.592000,-0.15868675846823543,-0.7296584853984283,-0.37574501825126827
2025/11/6 13:53:55.602000,-0.14388517575486803,-0.6812307890496603,-0.34786900670771903
2025/11/6 13:53:55.612000,-0.1295323415273506,-0.6327732034087459,-0.3207851994194013
2025/11/6 13:53:55.622000,-0.11579344465328156,-0.5845242523479273,-0.2947704873681385
2025/11/6 13:53:55.632000,-0.10271596540685479,-0.5366016906161406,-0.26990504691189177
2025/11/6 13:53:55.642000,-0.0902335117417623,-0.4890019727854473,-0.24608101045162512
2025/11/6 13:53:55.652000,-0.07818774985310806,-0.4416195727672694,-0.2230403832641752
2025/11/6 13:53:55.662000,-0.06636304696425532,-0.3942805379198888,-0.20043292517130817
2025/11/6 13:53:55.672000,-0.05452608838547812,-0.34678220500587287,-0.1778812874172675
2025/11/6 13:53:55.682000,-0.04246285483067158,-0.29893109665496076,-0.15504111250192176
2025/11/6 13:53:55.692000,-0.030007956499231492,-0.2505736124157347,-0.131647916066985
2025/11/6 13:53:55.702000,-0.017064581035690862,-0.20161741597821803,-0.1075477831322269
2025/11/6 13:53:55.712000,-0.0036148636569495185,-0.15204306822873903,-0.08271178960809644
2025/11/6 13:53:55.722000,0.010279895225114855,-0.10190520682203008,-0.057233965290274025
2025/11/6 13:53:55.732000,0.02448995838679746,-0.051322463070521795,-0.031312324831143545
2025/11/6 13:53:55.742000,0.03883830141701372,-0.00045669395334702045,-0.005214115328645352
2025/11/6 13:53:55.752000,0.05312980628801944,0.050515990146495326,0.020771113438293298
2025/11/6 13:53:55.762000,0.06718488116305443,0.10143862265625758,0.04638507943013037
2025/11/6 13:53:55.772000,0.08087288017237726,0.1522063447313604,0.07145353346382022
2025/11/6 13:53:55.782000,0.09413973234384332,0.20279309626487896,0.09592904135978486
2025/11/6 13:53:55.792000,0.10702430316837619,0.25326640476288054,0.11991496850597905
2025/11/6 13:53:55.802000,0.11965976613227247,0.3037865715903836,0.14366499534752153
2025/11/6 13:53:55.812000,0.13225893131625566,0.3545893930275197,0.16755687042173628
2025/11/6 13:53:55.822000,0.1450854196437228,0.4059546084975221,0.19204363181334516
2025/11/6 13:53:55.832000,0.15841555908747007,0.4581653411934501,0.21759015981208307
2025/11/6 13:53:55.842000,0.17249789853831832,0.511465888629079,0.24460627206415353
2025/11/6 13:53:55.852000,0.18751701931961873,0.5660250124887849,0.2733873836832674
2025/11/6 13:53:55.862000,0.2035663842176394,0.6219098368787748,0.3040705205417389
2025/11/6 13:53:55.872000,0.22063316455804172,0.6790735115892979,0.3366103148975994
2025/11/6 13:53:55.882000,0.23859686227997745,0.7373585480754099,0.37077779943719813
2025/11/6 13:53:55.892000,0.25724202433334553,0.7965160790695616,0.40618267870760105
2025/11/6 13:53:55.902000,0.27628318645990424,0.8562388880063132,0.44231643653506136
2025/11/6 13:53:55.912000,0.2953983864274736,0.9162039040952696,0.47861036511852806
2025/11/6 13:53:55.922000,0.31426666371235235,0.9761185708151552,0.5145004128493942
